ticker,return,volatility,draw_down,max_draw_down,sharpe
Avg_SP500,0.29382218592,0.0631007481205,-0.0647458462434,-0.136967466878,0.162883286845
industrials,0.765430766902,0.115345681794,-0.118475563623,-0.231718149964,0.422175979848
health_care,0.848532364392,0.130432439681,-0.0883870979433,-0.239130981381,0.431774445444
information_technology,0.657151269743,0.122527376253,-0.0790049817208,-0.234277583929,0.356446912462
consumer_discretionary,0.43305940654,0.117353016289,-0.140812043276,-0.258338752554,0.235847381834
utilities,0.674358200071,0.119927675422,-0.112199312445,-0.239574159065,0.37169723853
financials,0.424473796583,0.0998515872977,-0.104107239924,-0.229594140715,0.26647683479
materials,0.386161850172,0.119839006298,-0.096879337486,-0.267163912534,0.246973199875
consumer_staples,0.736116915382,0.121829002032,-0.107938539782,-0.233746719243,0.403418448421
real_estate,0.0642951148482,0.107566819813,-0.196999069045,-0.319538899543,0.0113442204061
energy,0.0212474423492,0.0826364994545,-0.129012172119,-0.250368480538,0.0159493755472
telecommunications_services,0.201125788862,0.0966526125152,-0.0366883275301,-0.268502401096,0.170462967215
MMM,0.977910861986,0.110108346587,-0.113065913905,-0.125082123553,0.641039598273
AME,0.798280880203,0.136481314373,-0.0718647252231,-0.32610876039,0.442838271739
BA,1.15189199245,0.115065068155,-0.0972994728965,-0.19788018314,0.692196677205
CTAS,2.5187795551,0.131927284851,-0.00825990898376,-0.148219520883,1.01622865242
DOV,0.0146732832653,0.101832538074,-0.135869743878,-0.301138537743,0.0143149597309
DNB,-0.202319307534,0.132609963893,-0.202319307534,-0.356811542251,-0.168547801492
ETN,-0.13978313785,0.105385100421,-0.241861425894,-0.322103333042,-0.141806428144
EMR,0.193931813485,0.106375562375,-0.193824656034,-0.195390551814,0.168113931868
EFX,1.35648943123,0.125465891181,-0.0425364442643,-0.174727121459,0.713327589219
FDX,0.615357632618,0.107714977836,-0.187908784994,-0.208060169203,0.456056471149
GD,1.29952730958,0.118340626996,-0.114410860876,-0.228261410204,0.733776778073
GE,0.0379348778248,0.105124977198,-0.143995726289,-0.253343558303,0.0354839037603
GWW,0.495991113643,0.133253071164,-0.0932015518197,-0.35820113206,0.308443851527
HON,0.412463746546,0.117569045586,-0.192136667412,-0.205925672449,0.298860625031
ITW,0.928127077554,0.109821746968,-0.114108226276,-0.182010659066,0.617893530921
JCI,0.790439106392,0.134170563231,-0.140268940981,-0.198192733705,0.447011711691
LLL,0.560685467093,0.127004164084,-0.0403937108526,-0.408695404968,0.358398161061
LMT,1.67616028798,0.127817137297,-0.206871260897,-0.206871260897,0.809330627544
MAS,0.161466916251,0.090735357634,-0.0153399668325,-0.216146831178,0.166208262613
NLSN,0.0877034624344,0.124915736334,-0.0612863952941,-0.323344885265,0.0675839004145
NOC,3.33867651475,0.133781271647,-0.133566596661,-0.136783733826,1.18157377425
