ticker,return,volatility,draw_down,sharpe
Avg_SP500,-0.247493935533,0.22021091594,-0.486539705802,-0.202648401056
industrials,-0.328054149119,0.212358967983,-0.518201622248,-0.257708499963
health_care,-0.225356757019,0.217125842536,-0.478667969967,-0.186590680073
information_technology,-0.167237387749,0.240330864457,-0.465533071576,-0.157285847724
consumer_discretionary,-0.270058993461,0.23919199483,-0.516736462057,-0.205301335373
utilities,-0.177007720957,0.151970946633,-0.359883275401,-0.159396084917
financials,-0.172861692945,0.212162960393,-0.442484100273,-0.145263623047
materials,-0.268196329059,0.234986351473,-0.498538847284,-0.215377414434
consumer_staples,-0.189381967134,0.162283292791,-0.414350186593,-0.196432844132
real_estate,-0.453953341821,0.192891080004,-0.561938506585,-0.375668866322
energy,-0.32730988646,0.296695137076,-0.59415783309,-0.20875586511
telecommunications_services,-0.0366689719724,0.21609009925,-0.462938536089,-0.127830054032
MMM,-0.0990545752105,0.151550327726,-0.376074250138,-0.0684712783353
AYI,-0.342551712398,0.274315574001,-0.580586944039,-0.149724079499
ALK,-0.215294404977,0.263618780684,-0.643517088057,-0.0908627444169
ALLE,-0.128599569153,0.125283467625,-0.228123783362,-0.109121003043
AAL,-0.43446724841,0.41964775595,-0.633406328581,-0.132026701888
AME,-0.291256883716,0.197904332491,-0.375142585817,-0.170993596358
ARNC,-0.666545111299,0.29916203253,-0.744264151155,-0.347667356288
BA,0.0585631103722,0.194479623855,-0.381041403017,0.0293473887197
CHRW,-0.45950974365,0.187269384547,-0.508938917807,-0.318649301792
CAT,-0.607308825194,0.220652570759,-0.614909031123,-0.404425632137
CTAS,-0.221799749548,0.17138185623,-0.611175356899,-0.14450374555
CSX,-0.608209104422,0.226930087579,-0.737414635505,-0.394159154619
CMI,-0.857429357742,0.255080365407,-0.87216596454,-0.693875368424
DE,-0.669945585462,0.203300076207,-0.746378824742,-0.516117850816
DAL,-0.856461914173,0.315692582408,-0.863588573679,-0.558889318472
DOV,-0.288267249823,0.224608660484,-0.334868266304,-0.148852665353
DNB,0.323199235762,0.201061577872,-0.110448730762,0.141255631702
ETN,-0.49859214829,0.225588130426,-0.623700663027,-0.295692092499
EMR,-0.290438986947,0.192852741886,-0.3843606013,-0.174894768264
EFX,0.632015007042,0.173271331651,-0.0484008076589,0.289724611874
EXPD,-0.113475067806,0.197121604797,-0.223117249108,-0.0607358949156
FAST,-0.506887030407,0.213428680808,-0.51848274954,-0.319826789863
FDX,0.0958341341639,0.201301139925,-0.338708065502,0.0456708180937
FLS,-0.724554357132,0.253195234478,-0.733385989118,-0.477774456334
FLR,-0.664172046807,0.262499776126,-0.671024510318,-0.393803249866
FTV,-0.0996073548128,0.0501779331228,-0.166913654047,-0.208011363162
FBHS,-0.796907584251,0.217053440793,-0.811715890253,-0.678877970412
GD,-0.29844313546,0.169843771641,-0.374615513938,-0.205038446768
GE,0.0207725723239,0.176367040069,-0.358290459386,0.0116693652749
GWW,-0.617228477123,0.186488849514,-0.639321482621,-0.490993339698
HON,-0.530640119634,0.179140707949,-0.595349685338,-0.406656494532
ITW,-0.485809356443,0.173740950599,-0.514218096825,-0.370391464163
IR,-0.630986679958,0.224169717501,-0.742881562725,-0.42326894054
JBHT,-0.639733174464,0.187624934756,-0.668494587621,-0.517269472261
JCI,-0.631242898494,0.189918551484,-0.636641966264,-0.499935066988
KSU,-0.796743429781,0.257578838451,-0.811258185133,-0.571801270544
LLL,-0.227626243924,0.177655886841,-0.396084305064,-0.143524452294
LMT,-0.238951776444,0.144387688803,-0.354099516149,-0.18655621551
MAS,-0.790578886102,0.295491205966,-0.8203638045,-0.489802555445
NLSN,-0.700781322401,0.186371044105,-0.719121439673,-0.609874884567
NSC,-0.583230408596,0.208690660474,-0.659475544657,-0.401558195985
NOC,-0.233973983035,0.160798519627,-0.357659181013,-0.163570125127
PCAR,-0.398840162302,0.222908557477,-0.478974506438,-0.222585727383
PH,-0.480508648767,0.221805746399,-0.53082733933,-0.285799928446
PNR,-0.671996736774,0.223713936161,-0.738598656645,-0.471515600815
PWR,-0.835001809306,0.273638206897,-0.85999044311,-0.602554227207
RTN,-0.371756678234,0.158703104733,-0.390352830569,-0.286188448052
RSG,-0.229466537222,0.150041258928,-0.398735529472,-0.171488847216
RHI,-0.664053652882,0.241006274935,-0.677291315249,-0.428792403794
ROK,1.26953275195,0.234769255451,-0.0559025013897,0.363802182821
COL,-0.14692899641,0.171046265732,-0.304677827769,-0.0921718444421
ROP,-0.658234963031,0.17716104513,-0.714750825443,-0.574621777811
R,-0.351756692335,0.251996464515,-0.367444076751,-0.168346742786
LUV,1.13750550517,0.241907455153,-0.289993560062,0.326255666329
SRCL,-0.521438706654,0.195204336037,-0.531702978123,-0.36396203395
TXT,-0.662923203168,0.275364316418,-0.707827759828,-0.37419660716
TDG,-0.345047186617,0.211799640761,-0.348881332192,-0.195638906506
UNP,-0.698749965749,0.194020942737,-0.707083103332,-0.582736714752
UAL,-0.658918966277,0.346928778247,-0.756706947048,-0.293952325225
UPS,-0.329237650696,0.142488128581,-0.404758040768,-0.274739962027
URI,1.47890343739,0.391827491554,-0.327141829132,0.242529836553
UTX,0.0446155624186,0.162527016838,-0.348543785192,0.0269151159963
VRSK,-0.423430967474,0.166033713492,-0.449572758008,-0.322689506964
WM,0.470850628104,0.14009577221,-0.168365640263,0.280794496327
XYL,-0.559714610068,0.171647772371,-0.595251513716,-0.458838700026
ABT,-0.231048231679,0.153585029584,-0.417748628636,-0.168835325149
ABBV,-0.593508325203,0.173562654484,-0.606153018119,-0.495995793541
AET,-0.507916366804,0.216508385464,-0.565263373553,-0.316176606012
A,-0.0506253486645,0.256677946804,-0.399941635507,-0.0201875765296
AGN,1.09729875797,0.226020394674,-0.379394001982,0.340132239157
ALXN,-0.551698735837,0.29917674066,-0.586061380971,-0.257690504806
ABC,0.877949201981,0.175147504881,-0.0975202261308,0.371378657258
AMGN,-0.0980589737914,0.199521735294,-0.310601396614,-0.0514607564486
ANTM,-0.228153093353,0.118045350079,-0.347947163133,-0.216564707648
BCR,-0.402015558516,0.159451647501,-0.5738311797,-0.314323904369
BAX,-0.58250889772,0.245642890535,-0.704375065559,-0.340506318882
BDX,-0.0337507694464,0.14281917372,-0.268040367769,-0.0239986008384
BIIB,-0.633552678876,0.271103035221,-0.64955205377,-0.352321563531
BSX,-0.180730946887,0.246133746513,-0.476784224135,-0.0801877020828
BMY,-0.196861689587,0.189954477031,-0.32093333615,-0.114155113741
CAH,-0.548810022129,0.180042375103,-0.638539271334,-0.424911254638
HSIC,-0.354089547088,0.162086963944,-0.428856578672,-0.263858047515
CELG,-0.774574672983,0.243890824692,-0.799760488727,-0.567511105845
CNC,-0.458724951659,0.310567375254,-0.56876562211,-0.191703369511
CERN,-0.385243129045,0.218857497681,-0.619227367167,-0.216982539919
CI,-0.186969827257,0.21176824282,-0.488568834302,-0.0967376299776
DHR,-0.435344183212,0.182499521506,-0.499906540031,-0.304391393796
DVA,0.0390881870441,0.175362601446,-0.17085810976,0.0219072884521
XRAY,-0.650651403779,0.176187157841,-0.680182309112,-0.566597314138
EW,-0.688522059556,0.274675282831,-0.875662739201,-0.40082558141
EVHC,0.548789533473,0.252997046455,-0.321574203876,0.176754601859
ESRX,-0.380771803504,0.205811249953,-0.422999442462,-0.227381740589
GILD,-0.677819271215,0.248089689802,-0.689983237846,-0.431639600535
HCA,-0.204265534738,0.252713986924,-0.39497454756,-0.089389245279
HOLX,-0.392497810443,0.229904015189,-0.491078636542,-0.211472248384
HUM,-0.4023066937,0.229322170625,-0.428400245849,-0.218756522139
IDXX,-0.363282339688,0.209091555608,-0.651032928331,-0.211099468006
ILMN,1.79064122398,0.352841596598,-0.147391022816,0.30630791529
INCY,-0.834197393479,0.400553483501,-0.86883898795,-0.41062082924
ISRG,-0.608332154472,0.249504118056,-0.722679110211,-0.358612010234
JNJ,-0.235404069767,0.116416294183,-0.349913123547,-0.227491914643
LH,-0.4973018663,0.166002437593,-0.622356193728,-0.400384104878
LLY,-0.54863645739,0.167254590654,-0.608864576167,-0.457186329069
MNK,-0.351276307107,0.270017237877,-0.629099304904,-0.156848674005
MCK,-0.0782706192574,0.199180282112,-0.153816568957,-0.0407532158953
MDT,-0.00205718115935,0.17052101563,-0.253071617539,-0.00120752743238
MRK,-0.350371895599,0.160672740872,-0.411088442366,-0.262760314142
MTD,-0.476896596863,0.208427744566,-0.625314112886,-0.301029340523
MYL,-0.0842396103282,0.263837121484,-0.213208972373,-0.0332077836486
PDCO,-0.576787244897,0.181547328797,-0.607068266593,-0.453847390192
PKI,-0.162899581127,0.208338886083,-0.205085274476,-0.0845928144214
PRGO,-0.692115075818,0.24755474386,-0.692115075818,-0.448905899206
PFE,0.00817151218872,0.153895555487,-0.137939886564,0.00529035333747
DGX,0.0819797641655,0.174398184033,-0.406191923825,0.0453581028087
REGN,-0.822578836906,0.367779779983,-0.83087216817,-0.431773395071
SYK,-0.664079416997,0.167282691266,-0.702873188071,-0.617807712146
COO,1.67794824712,0.213210736199,-0.0265867171185,0.485529132151
TMO,0.984752044362,0.192963714405,-0.196030267852,0.367703990741
UNH,-0.74909083472,0.189897409092,-0.7899293898,-0.68001645989
UHS,-0.430627124665,0.243717667628,-0.495181035815,-0.22470777312
VAR,-0.517184256925,0.199677855461,-0.554329255734,-0.351688500404
VRTX,-0.87332529786,0.475179348465,-0.886359340524,-0.392832485837
WAT,-0.144458521082,0.203940084078,-0.368440657131,-0.0759094931344
ZBH,0.473246635967,0.0935025265241,-0.00458258751527,0.42252660874
ZTS,-0.206837320306,0.152217107569,-0.336332974925,-0.150484191809
ACN,-0.421676481147,0.184976927807,-0.439029925696,-0.288088558603
ATVI,-0.140707114924,0.234990184723,-0.666983287045,-0.0640458356887
ADBE,-0.415058377022,0.234375304877,-0.601472541493,-0.222770474381
AKAM,-0.878042717038,0.337325462252,-0.906203779512,-0.562503533064
ADS,0.0507740736729,0.221312631905,-0.193432624134,0.022434306887
GOOGL,-0.510789567586,0.202703360792,-0.52482874993,-0.340400058206
GOOG,-0.109624670804,0.126178366006,-0.13902401727,-0.0914900787712
APH,0.160166965028,0.202489337715,-0.349484724628,0.0739164734436
ADI,-0.318563389291,0.207149471318,-0.494600508545,-0.181651240819
AAPL,0.762798624003,0.21398994298,-0.0503393287408,0.272573374616
AMAT,0.0893827087566,0.229521362206,-0.31111723036,0.0374600101575
ADSK,-0.502945494593,0.282431656091,-0.673335891101,-0.239060028441
ADP,0.0498284350497,0.14753323214,-0.205109481819,0.0330401326246
AVGO,0.309369671938,0.293583287319,-0.23990521858,0.0930609731664
CA,-0.574835600677,0.182467382137,-0.583020392771,-0.449244695836
CSCO,-0.756504915811,0.218641852467,-0.783362547566,-0.602544966413
CTXS,0.103634379504,0.315088716019,-0.490274945662,0.0314503490373
CTSH,-0.0231893277404,0.2474452225,-0.282355528334,-0.00947075377053
GLW,-0.686668498345,0.23937604015,-0.773551811893,-0.457726361845
