,bench mark,,,,,moving average,,,,,moving average with short sell,,,,,moving average with support price,,,,,moving average support volatility,,,,,moving average double support volatility,,,,,,Comparison of Return,,,,Comparison of Max Draw Down,,,,Comparison of Sharpe Ratio,,
ticker,bench mark return,bench mark volatility,bench mark draw_down,bench mark max_draw_down,bench mark sharpe,moving average return,moving average volatility,moving average draw_down,moving average max_draw_down,moving average sharpe,moving average with short sell return,moving average with short sell volatility,moving average with short sell draw_down,moving average with short sell max_draw_down,moving average with short sell sharpe,moving average with support price return,moving average with support price volatility,moving average with support price draw_down,moving average with support price max_draw_down,moving average with support price sharpe,moving average support volatility return,moving average support volatility volatility,moving average support volatility draw_down,moving average support volatility max_draw_down,moving average support volatility sharpe,moving average double support volatility return,moving average double support volatility volatility,moving average double support volatility draw_down,moving average double support volatility max_draw_down,moving average double support volatility sharpe,,Support Signal diff,Volatility Signal diff,Double Vol Signal Diff,,Support Signal diff,Volatility Signal diff,Double Vol Signal Diff,,Support Signal diff,Volatility Signal diff,Double Vol Signal Diff
SYK,0.6364108594,0.2303341022,-0.1028390904,-0.5862311822,0.2190852904,0.1621981494,0.1566576098,-0.2340388833,-0.4156077892,0.0966359319,-0.393879745,0.2314863128,-0.6573225924,-0.676260986,-0.2108803633,0.6432293362,0.148478454,-0.0742587454,-0.406262287,0.3428074456,0.4059441637,0.1251803119,-0.0054347826,-0.3222051142,0.2767517841,0.2818184547,0.1714140942,-0.0322046473,-0.3792902752,0.1465957509,,0.4810311868,-0.2372851725,-0.124125709,,0.0093455022,0.0840571728,-0.057085161,,0.2461715137,-0.0660556615,-0.1301560332
COO,0.0283209971,0.3204770063,-0.6920069772,-0.8690145045,0.0087229995,0.344828253,0.2106008472,-0.2190607479,-0.5254276621,0.1427233772,0.1306413839,0.3169376869,-0.4936303376,-0.5790059129,0.0389642115,0.3617579239,0.1945632204,-0.1046127811,-0.6192032615,0.1611125246,-0.0034359203,0.0824482237,-0.0338596491,-0.3232492623,-0.0041721562,-0.4214918621,0.1590649851,-0.4802858356,-0.647070418,-0.3346984301,,0.0169296709,-0.3651938442,-0.4180559418,,-0.0937755994,0.2959539992,-0.3238211557,,0.0183891474,-0.1652846808,-0.3305262739
TMO,1.4423255814,0.2363563937,-0.023255814,-0.5390749601,0.3950144908,0.1216038369,0.1571325871,-0.1876570283,-0.3673799,0.0734247812,-0.6244588229,0.2383038078,-0.6559982658,-0.6989069587,-0.3913492812,1.14577196,0.1578732858,-0.0382022472,-0.2849972954,0.5023475633,0.6204980015,0.1388223735,-0.0392799107,-0.2459538061,0.3561186077,0.8183267777,0.1663068493,-0.0316,-0.335878622,0.3703394075,,1.0241681231,-0.5252739585,0.1978287762,,0.0823826046,0.0390434893,-0.0899248159,,0.4289227821,-0.1462289556,0.0142207998
UNH,0.1927103594,0.3203640066,-0.3617731185,-0.7439692991,0.055473959,0.2521093336,0.197049154,-0.1074342907,-0.3785922432,0.1153438711,-0.3305956824,0.3344326571,-0.4899513925,-0.6815612599,-0.1175916221,0.7354107323,0.1788881803,-0.0748153667,-0.348128517,0.3166714488,0.8125081821,0.1169998977,-0.0053097345,-0.1976286456,0.5235040475,0.1996659564,0.1641280672,-0.0053097345,-0.4689251018,0.111885866,,0.4833013987,0.0770974498,-0.6128422257,,0.0304637262,0.1504998714,-0.2712964562,,0.2013275777,0.2068325987,-0.4116181815
UHS,0.8308829483,0.2469416362,-0.2807373608,-0.5259886195,0.2523692845,0.8605061761,0.1670236236,-0.1177466213,-0.3228339494,0.3833363213,0.3819221547,0.2447476826,-0.2761136325,-0.4695696996,0.1342731789,0.7552722716,0.1754603971,-0.0659851122,-0.2643451286,0.329712206,0.0028427195,0.1026647103,-0.0990885417,-0.2590935769,0.0027642938,-0.0225448067,0.1416058049,-0.1352470757,-0.3692378611,-0.0160782609,,-0.1052339045,-0.7524295521,-0.0253875262,,0.0584888208,0.0052515517,-0.1101442842,,-0.0536241153,-0.3269479122,-0.0188425547
VAR,0.8064626432,0.2703014156,-0.0617199521,-0.5774973064,0.2252875889,1.0909854066,0.164086834,-0.0609898619,-0.3576627279,0.4663412993,0.5199966237,0.2737347981,-0.3769481315,-0.6137610512,0.1561449267,0.2734478327,0.1676768551,-0.1831425816,-0.4946357345,0.1458605247,-0.090190983,0.0840358783,-0.1229117313,-0.2655962789,-0.1119020047,0.1093861762,0.1562073094,-0.1927974277,-0.3187886682,0.0667738224,,-0.8175375739,-0.3636388157,0.1995771592,,-0.1369730066,0.2290394556,-0.0531923893,,-0.3204807746,-0.2577625294,0.1786758271
VRTX,1.3094944513,0.4395396168,-0.5067817509,-0.6766400709,0.1985472449,0.9124507294,0.2774088269,-0.3817359326,-0.3901415367,0.2413733097,-0.5114262071,0.4329359017,-0.5830546207,-0.7514218249,-0.1595959201,-0.0423562344,0.3047252611,-0.338523754,-0.6914989315,-0.0141664238,0,0,0,0,0,0,0,0,0,0,,-0.9548069638,0.0423562344,0,,-0.3013573948,0.6914989315,0,,-0.2555397335,0.0141664238,0
WAT,1.3158967391,0.2717800183,-0.0913722826,-0.6192893401,0.3222101949,0.6200348762,0.185508418,-0.0473448124,-0.4771176747,0.2663342558,-0.2275597769,0.2680999578,-0.4837281217,-0.6192540235,-0.0950373788,0.9505380038,0.1907973097,-0.0913722826,-0.4283943771,0.3619774939,0.2169220404,0.1513484052,-0.1300931661,-0.3183831477,0.1309459076,0.3140985819,0.1526646705,-0.0606273048,-0.2960678101,0.1813146894,,0.3305031276,-0.7336159634,0.0971765415,,0.0487232976,0.1100112294,0.0223153376,,0.0956432381,-0.2310315863,0.0503687818
ZBH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
ZTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
ACN,1.0640550556,0.2463112411,-0.0021175225,-0.3912348779,0.305006152,0.4307055672,0.1750724116,-0.0216404563,-0.3159760507,0.2082057174,-0.2650635098,0.2488966193,-0.3072907589,-0.508624879,-0.1218006836,0.5750535088,0.1733693581,-0.0021175225,-0.2518477127,0.2679690076,0.0507919489,0.103263424,-0.0984803182,-0.2902530895,0.0480781489,0.1361613019,0.14401049,-0.2021553326,-0.3021205059,0.0891753621,,0.1443479416,-0.5242615599,0.085369353,,0.064128338,-0.0384053768,-0.0118674164,,0.0597632902,-0.2198908587,0.0410972132
ATVI,3.3988992465,0.3569449986,-0.1476407915,-0.564893617,0.4471312362,0.4185485898,0.2310084778,-0.1407914764,-0.4184089749,0.1539655721,-0.731488123,0.3624830229,-0.7730168419,-0.8134765962,-0.339774159,1.0775885615,0.2624393294,-0.1476407915,-0.429904998,0.2889392598,0,0,0,0,0,0,0,0,0,0,,0.6590399717,-1.0775885615,0,,-0.0114960231,0.429904998,0,,0.1349736877,-0.2889392598,0
ADBE,0.9493307449,0.312418576,-0.0886514583,-0.6670833333,0.2208516941,-0.1686255886,0.2044982629,-0.3112641581,-0.5851858565,-0.0894422005,-0.8009202242,0.3155435181,-0.8118556203,-0.8460966975,-0.472193772,0.3297081174,0.1998624039,-0.0886514583,-0.3402561622,0.1445700428,-0.1188972332,0.0426402514,-0.1488638837,-0.2197192963,-0.2948699033,-0.0337460549,0.0935063965,-0.2524884681,-0.3585416667,-0.0366349932,,0.498333706,-0.4486053506,0.0851511783,,0.2449296943,0.1205368659,-0.1388223704,,0.2340122433,-0.4394399461,0.2582349101
AMD,0.2222222222,0.4855792616,-0.75,-0.9572446556,0.0417266184,4.0266174939,0.3108451063,-0.0194444444,-0.6701110538,0.5635182244,4.0099496286,0.4843470228,-0.0194444425,-0.7638990039,0.3608503231,4.1890672296,0.3101412191,-0.0194444444,-0.5570078006,0.5768634954,0,0,0,0,0,0,0,0,0,0,,0.1624497357,-4.1890672296,0,,0.1131032532,0.5570078006,0,,0.013345271,-0.5768634954,0
AKAM,6.3814041746,0.4840602502,-0.3833017078,-0.8429416737,0.4569237096,1.7646368557,0.3462507854,-0.1043643264,-0.6000317683,0.3090137482,-0.6862041096,0.4892852853,-0.8367343759,-0.9174467753,-0.2235823822,9.406717222,0.3805935887,-0.3833017078,-0.5336100973,0.6932222226,0,0,0,0,0,0,0,0,0,0,,7.6420803663,-9.406717222,0,,0.066421671,0.5336100973,0,,0.3842084744,-0.6932222226,0
ADS,1.5823485968,0.3652771338,-0.1218611521,-0.7054013875,0.2723250786,0.5841501797,0.2110788376,-0.2051475673,-0.4532159142,0.2229507584,-0.5630292344,0.3620201002,-0.6520115824,-0.751791862,-0.219391332,1.4636386387,0.2060843769,-0.0251107829,-0.3298929873,0.4576485827,0,0,0,0,0,0,0,0,0,0,,0.879488459,-1.4636386387,0,,0.1233229269,0.3298929873,0,,0.2346978243,-0.4576485827,0
GOOGL,4.0583545124,0.2826597355,-0.0032391489,-0.6529475997,0.622325859,6.1815033541,0.1943373785,-0.0211885449,-0.2207087455,1.1208949011,5.6720674701,0.284054687,-0.2003036321,-0.3804761997,0.7354483058,1.176721276,0.1654754342,-0.0223007208,-0.3183308997,0.4886124443,0.0564120758,0.0878560686,-0.0084004503,-0.3486648423,0.0626105031,-0.1057993302,0.10176775,-0.1311526051,-0.4590069498,-0.1092270713,,-5.0047820781,-1.1203092002,-0.162211406,,-0.0976221542,-0.0303339426,-0.1103421075,,-0.6322824568,-0.4260019412,-0.1718375744
GOOG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
APH,2.3324550867,0.2985567201,-0.0458388127,-0.634141803,0.4282632351,1.3017804166,0.2046111674,-0.0694986201,-0.2308535249,0.4247364219,0.0271334603,0.2995489988,-0.4488072407,-0.5621853623,0.0089457851,1.9117979563,0.2144219704,-0.0458388127,-0.2222917868,0.5258318524,0.2468559462,0.1216957778,-0.1002708546,-0.2213740458,0.1832329205,0.7788665537,0.1415246166,-0.0760973913,-0.2213740458,0.4187561173,,0.6100175397,-1.6649420101,0.5320106075,,0.0085617381,0.000917741,0,,0.1010954305,-0.3425989319,0.2355231968
ADI,-0.142129161,0.2842301191,-0.5274165088,-0.6630491494,-0.0535032232,-0.5147566001,0.1922094827,-0.5147566001,-0.5635109916,-0.3627867902,-0.8239573341,0.2863810782,-0.833182662,-0.8459049497,-0.5565836413,-0.1949435474,0.1762116752,-0.2751491024,-0.4831831179,-0.1216854068,-0.149456908,0.0438964565,-0.149456908,-0.1583029807,-0.3656634484,-0.2721808871,0.0944349526,-0.2948675285,-0.3414147377,-0.331006622,,0.3198130527,0.0454866394,-0.1227239791,,0.0803278737,0.3248801372,-0.183111757,,0.2411013834,-0.2439780416,0.0346568264
AAPL,24.5738035264,0.3410419473,-0.0120906801,-0.6086673673,1.1221052913,8.2244471393,0.2487898666,-0.1335660294,-0.4573423159,0.9996080527,0.8616730305,0.3430383044,-0.4694335073,-0.6287024843,0.1868389264,26.8950386023,0.2816223987,-0.0120906801,-0.3330546547,1.4016828082,0.0273201927,0.0425679143,-0.045371757,-0.1291215892,0.0633792117,0.0273201927,0.0425679143,-0.045371757,-0.1291215892,0.0633792117,,18.670591463,-26.8677184096,0,,0.1242876612,0.2039330655,0,,0.4020747555,-1.3383035965,0
AMAT,-0.2031413457,0.3113233345,-0.511647187,-0.6683929942,-0.0720891646,-0.3061947593,0.2076457572,-0.4009276887,-0.5276029847,-0.1728048314,-0.649550973,0.3113922188,-0.6697645683,-0.7103708804,-0.3195528446,-0.3587022713,0.1916834266,-0.446742894,-0.6243209265,-0.226606788,-0.042826241,0.0823907777,-0.0928519676,-0.1858376,-0.0529880426,0.1749686648,0.1461144996,-0.1291302548,-0.2880277794,0.1112024588,,-0.052507512,0.3158760303,0.2177949058,,-0.0967179418,0.4384833265,-0.1021901794,,-0.0538019566,0.1736187454,0.1641905014
ADSK,2.8719582298,0.3460483682,-0.0871473354,-0.769200627,0.4187428524,1.888852526,0.2309506419,0,-0.449095782,0.4843903574,0.1219692154,0.3472204801,-0.1519961445,-0.7084451796,0.0333228043,3.0845229638,0.2287918035,0,-0.4550834359,0.6601551946,0,0,0,0,0,0,0,0,0,0,,1.1956704378,-3.0845229638,0,,-0.0059876539,0.4550834359,0,,0.1757648372,-0.6601551946,0
ADP,0.3573436044,0.1930612091,-0.0425181603,-0.3719789772,0.1606324347,-0.0004759258,0.1316371499,-0.1866468724,-0.3201100361,-0.0003614766,-0.3981402193,0.1940709614,-0.5076792807,-0.5706698759,-0.2549911101,-0.2628693751,0.128483118,-0.3853219217,-0.5277674032,-0.2337021848,-0.3039863516,0.1040546994,-0.3344528674,-0.4492480983,-0.3418958417,-0.0661023192,0.1494708324,-0.1343139073,-0.3719789772,-0.0455794088,,-0.2623934493,-0.0411169765,0.2378840324,,-0.2076573671,0.0785193049,0.0772691211,,-0.2333407082,-0.1081936569,0.2963164329
AVGO,0.2503090235,0.0880549948,-0.1044499382,-0.2154845696,0.2564457104,0.248534407,0.0582305472,-0.0234604106,-0.1242735807,0.385298658,0.1930805402,0.0885290336,-0.132679897,-0.1778490042,0.2011027404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-0.248534407,0,0,,0.1242735807,0,0,,-0.385298658,0,0
CA,-0.09291826,0.2659623814,-0.3722999561,-0.5330449418,-0.0364751226,-0.4045415759,0.1771288267,-0.4045415759,-0.4853955956,-0.2851133769,-0.7359151049,0.2688499796,-0.7520415709,-0.783687143,-0.463523458,-0.2068518379,0.1672277207,-0.3341695077,-0.45897273,-0.1369330568,-0.2317772659,0.0831777196,-0.2317772659,-0.2423940932,-0.3127363895,-0.1546990252,0.1306783363,-0.3084534603,-0.3492682564,-0.1274825543,,0.197689738,-0.024925428,0.0770782407,,0.0264228656,0.2165786368,-0.1068741632,,0.1481803201,-0.1758033327,0.1852538352
CSCO,0.3430263866,0.2688981947,-0.2665589661,-0.6003521127,0.1112674779,-0.3948721973,0.1700117179,-0.4791335646,-0.5889998954,-0.2880490616,-0.8226598298,0.2707037574,-0.8341695151,-0.8419973258,-0.5865369507,0.6314995358,0.1664955519,-0.056004308,-0.3465335369,0.3011926723,-0.0426985,0.0965835533,-0.1575569196,-0.180528843,-0.0450640365,0.2579492281,0.1434307089,-0.1371049949,-0.3127934272,0.1617800606,,1.0263717331,-0.6741980358,0.3006477281,,0.2424663585,0.1660046939,-0.1322645842,,0.5892417339,-0.3462567088,0.2068440971
CTXS,0.9419624217,0.3347486049,-0.3699373695,-0.567316209,0.2049107012,0.9621946178,0.2319603451,-0.236743215,-0.4382436217,0.3004877807,0.0331195719,0.3329763305,-0.308322596,-0.6421536475,0.0097973946,0.3262602019,0.2380400696,-0.3045795623,-0.6123644333,0.1202617712,0,0,0,0,0,0,0,0,0,0,,-0.6359344159,-0.3262602019,0,,-0.1741208116,0.6123644333,0,,-0.1802260095,-0.1202617712,0
CTSH,5.9630146546,0.3620621877,-0.0568736916,-0.6905564924,0.5912698159,0.5765025458,0.2438739315,-0.2712531342,-0.6476923254,0.190892932,-0.8147780265,0.3665138204,-0.8990919693,-0.9264029222,-0.4232123841,7.0683068079,0.2443103265,-0.0568736916,-0.3310628099,0.9499750966,0,0,0,0,0,0,0,0,0,0,,6.4918042621,-7.0683068079,0,,0.3166295155,0.3310628099,0,,0.7590821646,-0.9499750966,0
GLW,1.2126516413,0.3580485312,-0.1346841478,-0.7269052475,0.2307610594,0.3506945307,0.246959344,-0.2496456179,-0.4739235957,0.1235261091,-0.5882609226,0.3611456461,-0.7333534481,-0.7763665923,-0.2350323355,0.4364323199,0.2502973136,-0.2169293123,-0.5232247409,0.1472849656,0,0,0,0,0,0,0,0,0,0,,0.0857377892,-0.4364323199,0,,-0.0493011452,0.5232247409,0,,0.0237588565,-0.1472849656,0
CSRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
EBAY,-0.2189556823,0.3300619768,-0.6394910048,-0.8255922561,-0.0739250519,0.1971487104,0.1991436827,-0.3300495903,-0.5766112302,0.0911392821,-0.1476929014,0.3306793914,-0.5646514613,-0.7450613195,-0.0479241619,0.4095465037,0.2007740396,-0.1180342255,-0.5299290179,0.1738699004,0,0,0,0,0,0,0,0,0,0,,0.2123977933,-0.4095465037,0,,0.0466822123,0.5299290179,0,,0.0827306183,-0.1738699004,0
EA,-0.5457627119,0.3320788329,-0.6125162973,-0.7860639217,-0.2284127368,-0.1182357817,0.2031048516,-0.1844017531,-0.50030954,-0.0615408958,-0.1399565559,0.3320642073,-0.315963671,-0.5545918158,-0.0450461278,-0.354411135,0.1846177835,-0.354411135,-0.6184948629,-0.2318242098,0,0,0,0,0,0,0,0,0,0,,-0.2361753533,0.354411135,0,,-0.1181853229,0.6184948629,0,,-0.170283314,0.2318242098,0
FFIV,7.1442699244,0.4222922797,-0.0447934846,-0.6041666667,0.55232691,0.8317745831,0.3056013639,-0.2732011959,-0.6589855921,0.2040965587,-0.8388206471,0.4325779091,-0.9167294944,-0.9384836618,-0.3855359625,2.4923907125,0.3191900228,-0.0877777778,-0.4654065148,0.4171754868,0,0,0,0,0,0,0,0,0,0,,1.6606161294,-2.4923907125,0,,0.1935790773,0.4654065148,0,,0.2130789281,-0.4171754868,0
FB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
FIS,1.149803355,0.2602509557,-0.1103306801,-0.6038022572,0.3055119783,0.253502323,0.1683897168,-0.2627387027,-0.4438748344,0.1356501468,-0.5282863403,0.2717955428,-0.7150210185,-0.7150210185,-0.2662183274,0.8215132921,0.1488539035,-0.1001362398,-0.3950682254,0.4150095852,0.5983484103,0.1121890096,-0.0449574727,-0.2702876365,0.4278003356,0.5416306196,0.164228305,-0.0449574727,-0.4089468026,0.2692374882,,0.5680109691,-0.2231648818,-0.0567177907,,0.048806609,0.1247805889,-0.1386591661,,0.2793594384,0.0127907504,-0.1585628474
FISV,0.3550408719,0.2371362022,-0.2111716621,-0.5113924051,0.1300388426,-0.2366561532,0.1504960121,-0.3149611957,-0.3565158915,-0.1769667753,-0.7210604422,0.2401820122,-0.7484451494,-0.7637045541,-0.498857441,-0.1286691198,0.1461096025,-0.2955227625,-0.3568578454,-0.0935838456,-0.0046493444,0.0982648584,-0.058289798,-0.2512152185,-0.0047394746,0.3232630062,0.1466682015,-0.0292887029,-0.235443038,0.1935969656,,0.1079870334,0.1240197754,0.3279123506,,-0.0003419539,0.1056426269,0.0157721805,,0.0833829297,0.088844371,0.1983364402
FLIR,2.7015873016,0.3515568812,-0.1968253968,-0.5815964523,0.3975657809,1.088924998,0.2471808027,-0.1415132275,-0.3535916692,0.3091436878,-0.3591454417,0.356498054,-0.6346794456,-0.7128497421,-0.1220283331,1.600669208,0.2557198395,-0.2521355893,-0.4020254515,0.3920359174,0,0,0,0,0,0,0,0,0,0,,0.51174421,-1.600669208,0,,-0.0484337823,0.4020254515,0,,0.0828922296,-0.3920359174,0
GPN,1.2640902967,0.2662126199,-0.0918614021,-0.4877618008,0.3197201701,0.0499672403,0.1928128548,-0.1547345624,-0.5062342276,0.0253398241,-0.6593933857,0.2690882462,-0.6995453276,-0.707901859,-0.3793061988,0.435560193,0.1903625902,-0.0918614021,-0.5231970423,0.1933262523,0.4399793828,0.1237082848,-0.0590716775,-0.3530165577,0.3000662715,0.6262321798,0.1422278987,-0.0482612511,-0.3603027786,0.3501973869,,0.3855929527,0.0044191898,0.186252797,,-0.0169628147,0.1701804846,-0.0072862209,,0.1679864282,0.1067400192,0.0501311154
HRS,2.8403562064,0.2973551708,-0.0392491468,-0.570486242,0.4841609457,1.1859328566,0.2121019393,-0.0628019324,-0.4965653579,0.3833520213,-0.1808587028,0.2994932935,-0.6085458199,-0.7773121524,-0.0659259086,2.6236053944,0.2141361301,-0.0628019324,-0.266519001,0.6413850742,0.1176510321,0.1296987467,-0.0047814208,-0.239121014,0.0862036977,0.4040451837,0.1392352182,-0.0047814208,-0.2456799454,0.2478115722,,1.4376725378,-2.5059543623,0.2863941516,,0.2300463569,0.027397987,-0.0065589314,,0.2580330529,-0.5551813765,0.1616078745
HPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
HPQ,1.216593277,0.2585225095,-0.2699376707,-0.5161813389,0.3203445863,-0.0060601774,0.1673164585,-0.3924767092,-0.4095245566,-0.003630449,-0.6921188864,0.2622211027,-0.8270908191,-0.831942862,-0.4236425468,0.6641508411,0.181806628,-0.2505311416,-0.3467068574,0.2872798568,0.4605293038,0.1204997775,-0.0247826087,-0.2046419986,0.3202557661,0.9303166597,0.1490358792,-0.0247826087,-0.240547769,0.4559389818,,0.6702110185,-0.2036215373,0.4697873559,,0.0628176992,0.1420648588,-0.0359057704,,0.2909103058,0.0329759093,0.1356832157
INTC,0.0757285834,0.2765305648,-0.4288220572,-0.6112525082,0.0264838243,0.0765760096,0.177091315,-0.0138721211,-0.3352596406,0.0418026199,-0.3128305467,0.2763216656,-0.3476379985,-0.6991929716,-0.1332068103,0.462157218,0.1638462774,0,-0.3358877222,0.2362361038,-0.1823541927,0.1134024224,-0.2550576759,-0.2898268404,-0.1756876614,-0.2381034694,0.1458485156,-0.3739059378,-0.4031280222,-0.183871808,,0.3855812084,-0.6445114107,-0.0557492767,,-0.0006280816,0.0460608818,-0.1133011818,,0.1944334839,-0.4119237652,-0.0081841466
IBM,0.6995281802,0.1871495115,-0.1402525401,-0.4427645775,0.2909131896,0.7255331315,0.1271994982,-0.106086251,-0.1790751263,0.4406153509,0.45720075,0.1869986444,-0.2182214915,-0.2725613604,0.2051025822,0.4724194883,0.1209223275,-0.0595012322,-0.2717922836,0.3261006349,0.0874874771,0.1043040226,-0.1151105293,-0.2717922836,0.0807148598,-0.0109586086,0.1447230373,-0.2146017948,-0.3824381003,-0.0076066857,,-0.2531136432,-0.3849320112,-0.0984460857,,-0.0927171573,0,-0.1106458167,,-0.114514716,-0.2453857751,-0.0883215455
INTU,0.641108545,0.2529338483,-0.1718244804,-0.4357182784,0.2007001582,0.5379684021,0.1637121092,-0.1197680418,-0.2537922575,0.2685701848,-0.0403304581,0.2544147431,-0.2049715382,-0.4248833853,-0.0161410739,-0.0757016123,0.1716504523,-0.3069713187,-0.490396978,-0.0456626045,0.3395559458,0.1121236683,-0.0741340722,-0.26301021,0.2644694474,0.470072328,0.138028589,-0.0952811018,-0.2582448295,0.2844852726,,-0.6136700144,0.4152575581,0.1305163822,,-0.2366047205,0.227386768,0.0047653805,,-0.3142327893,0.3101320519,0.0200158252
JNPR,0.8991712707,0.3827813694,-0.1574585635,-0.6634570689,0.1729869866,1.5828373924,0.2526426189,-0.1222505636,-0.4782536058,0.3938168697,0.5453789773,0.3821052879,-0.3394370748,-0.6281055873,0.1163813541,1.2554484571,0.2580294446,-0.0939226519,-0.4589273265,0.3282525311,0,0,0,0,0,0,0,0,0,0,,-0.3273889353,-1.2554484571,0,,0.0193262793,0.4589273265,0,,-0.0655643386,-0.3282525311,0
KLAC,-0.2978895021,0.3197348475,-0.6692644118,-0.752034075,-0.1086359964,-0.1740780016,0.2124507068,-0.4622233604,-0.5177127268,-0.0891324883,-0.4414915837,0.3191233906,-0.6502271536,-0.6863177356,-0.1772436787,0.1213689688,0.188894205,-0.2293841458,-0.41035577,0.0609666682,0,0,0,0,0,0,0,0,0,0,,0.2954469704,-0.1213689688,0,,0.1073569568,0.41035577,0,,0.1500991565,-0.0609666682,0
LRCX,0.9147442327,0.3846240836,-0.2477432297,-0.7499166389,0.1744220508,0.0398200571,0.2708377251,-0.3127674739,-0.4844140365,0.0144397674,-0.7339178625,0.3867431892,-0.7960714013,-0.8203915059,-0.3205195108,1.3029195232,0.2659542426,-0.0431293882,-0.3821577373,0.3269719245,0,0,0,0,0,0,0,0,0,0,,1.2630994661,-1.3029195232,0,,0.1022562992,0.3821577373,0,,0.3125321571,-0.3269719245,0
MA,3.6789483677,0.3033659034,-0.0456521739,-0.6266304188,0.5497567666,1.9761467716,0.2004313333,-0.0708245243,-0.4860278047,0.5746801715,0.0324289517,0.3099599826,-0.262995349,-0.7157404908,0.0103085599,1.6259572734,0.1970932311,-0.0402890696,-0.3708265781,0.5140518085,0,0,0,0,0,0,0,0,0,0,,-0.3501894982,-1.6259572734,0,,0.1152012266,0.3708265781,0,,-0.060628363,-0.5140518085,0
MCHP,0.2968826001,0.2918428447,-0.2865800624,-0.5795732908,0.0902078735,0.10912279,0.1971059528,-0.2180666963,-0.354373275,0.0527968677,-0.4055605649,0.2905076394,-0.616634338,-0.6357564102,-0.1743993475,-0.1777440941,0.1947883736,-0.3965407247,-0.5584638064,-0.0994537354,-0.0656668299,0.083032085,-0.0749835424,-0.1639278665,-0.081492675,-0.1364931617,0.1300784462,-0.1577697924,-0.333074184,-0.1119509516,,-0.2868668841,0.1120772642,-0.0708263318,,-0.2040905314,0.3945359399,-0.1691463175,,-0.1522506031,0.0179610604,-0.0304582766
MU,-0.3568345324,0.4619794575,-0.8784172662,-0.9089929995,-0.0934211417,-0.4609305716,0.2986646863,-0.7417700395,-0.7666192164,-0.2005510485,-0.8925221865,0.4636178326,-0.9167243812,-0.924737899,-0.4310694105,0.4822343108,0.2574166116,-0.3289300903,-0.3935063885,0.1558693691,0,0,0,0,0,0,0,0,0,0,,0.9431648824,-0.4822343108,0,,0.3731128279,0.3935063885,0,,0.3564204176,-0.1558693691,0
MSFT,0.2949829352,0.2366415239,-0.3357910478,-0.5793623724,0.1106151927,0.7656539153,0.1469228922,-0.0479677774,-0.3704359825,0.397999226,0.674132424,0.2385406361,-0.0479677726,-0.4473574591,0.2215914309,0.236685881,0.1398918809,-0.1737318432,-0.2525330282,0.153419096,-0.0598449993,0.1075410011,-0.1760996895,-0.1987485768,-0.0571837545,0.1704488554,0.1396010347,-0.1520365169,-0.2665438843,0.1135868703,,-0.5289680343,-0.2965308803,0.2302938547,,0.1179029543,0.0537844514,-0.0677953075,,-0.24458013,-0.2106028505,0.1707706248
MSI,-0.1442482764,0.3674748036,-0.6093033368,-0.876515051,-0.042045508,2.3149946551,0.2344269622,-0.0830704522,-0.3299664356,0.5428930214,5.0793909633,0.3670453394,-0.1111891871,-0.5031197229,0.5386752654,1.2524665239,0.2133725492,-0.0830704522,-0.3023007323,0.396280507,-0.1246875212,0.0637623082,-0.1271523179,-0.1996032441,-0.2073936005,-0.5065096402,0.1218164008,-0.5065096402,-0.5487461991,-0.5595520165,,-1.0625281312,-1.3771540451,-0.381822119,,0.0276657033,0.1026974882,-0.349142955,,-0.1466125144,-0.6036741075,-0.352158416
NTAP,0.8009605123,0.3715814389,-0.4455709712,-0.7483042636,0.1630116725,-0.348426314,0.2513189017,-0.6047998653,-0.6487867469,-0.1667823161,-0.8798940364,0.3747646582,-0.9016441652,-0.9067855857,-0.5094307947,0.9054195876,0.2462335312,-0.2057630736,-0.4296440239,0.2703381806,0,0,0,0,0,0,0,0,0,0,,1.2538459016,-0.9054195876,0,,0.219142723,0.4296440239,0,,0.4371204967,-0.2703381806,0
